parameter,variation,utilization,revenue_share,coverage_ratio,collateral_ratio,lp_ratio
baseline,0.0,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
mu,-0.15,0.6011977521283812,1.0,0.012157861801094214,0.49998131247402944,0.02022273329873994
mu,0.15,0.6011977521283812,1.0,0.012157861801094214,0.49998131247402944,0.02022273329873994
theta,-0.15,0.3270733174415091,0.9923191043672066,0.11233207326613114,0.025254210011294447,0.3434461549625479
theta,0.15,0.33957418864582023,1.0,0.6791368966243526,0.005052645149482146,1.9999661909895639
xi,-0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
xi,0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
alpha,-0.15,0.3138339735343667,1.0,0.17118412823207566,0.005052645149482146,0.5454607935024279
alpha,0.15,0.3389396341007469,0.9900027777784645,0.17118412823207566,0.005052645149482146,0.5050578657944519
beta,-0.15,0.32590402220299547,1.0,0.17118412823207566,0.005052645149482146,0.5252593296484398
beta,0.15,0.3389396341007469,1.0,0.17118412823207566,0.005052645149482146,0.5050578657944519
delta,-0.15,0.3389396341007469,1.0,0.17118412823207566,0.005052645149482146,0.5050578657944519
delta,0.15,0.32590402220299547,1.0,0.17118412823207566,0.005052645149482146,0.5252593296484398
u_target,-0.15,0.4707417823583767,1.0,0.17118412823207566,0.005052645149482146,0.36364761881653584
u_target,0.15,0.4707417823583767,1.0,0.17118412823207566,0.005052645149482146,0.36364761881653584
r_market,-0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
r_market,0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
r_pool,-0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
r_pool,0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
rho,-0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
rho,0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
lambda_hack,-0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
lambda_hack,0.15,0.32590402220299547,0.9874274653536932,0.17118412823207566,0.005052645149482146,0.5252593296484398
