parameter,variation,utilization,revenue_share,coverage_ratio,collateral_ratio,lp_ratio
baseline,0.0,0.0,0.6500000086138275,0.0,0.0,1e-05
mu,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
mu,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
theta,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
theta,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
xi,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
xi,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
alpha,-0.15,0.0,0.8231316095558842,0.0,0.0,1e-05
alpha,0.15,0.0,0.4768684076717707,0.0,0.0,1e-05
beta,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
beta,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
delta,-0.15,0.0,0.5949360352887807,0.0,0.0,1e-05
delta,0.15,0.0,0.7101603973154781,0.0,0.0,1e-05
u_target,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
u_target,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
r_market,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
r_market,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
r_pool,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
r_pool,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
rho,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
rho,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
lambda_hack,-0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
lambda_hack,0.15,0.0,0.6500000086138275,0.0,0.0,1e-05
