parameter,variation,utilization,revenue_share,coverage_ratio,collateral_ratio,lp_ratio
baseline,0.0,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
mu,-0.15,0.5769300945108197,0.43164927374325707,0.262413399378009,0.40933099698190933,0.45484435961086395
mu,0.15,0.6022523991308737,0.447197397246122,0.296935484744215,0.3668688294308248,0.49304159713224954
theta,-0.15,0.6163861863500798,0.45639547653259216,0.03398692293883758,0.4970559577114748,0.05513900812750292
theta,0.15,0.6008809546226387,0.4463249040035253,0.29625930555349655,0.3579025897341214,0.49304159713224954
xi,-0.15,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
xi,0.15,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
alpha,-0.15,0.18464886322358168,0.49748445379944345,0.3692914836518196,0.4999886425142431,1.9999661909895639
alpha,0.15,1.2363581339413778,1.0,0.09993857433672226,0.11615911675339508,0.08083303016588628
beta,-0.15,0.5505883871484343,0.4545482010314196,0.26171603305240293,0.34037896930298156,0.47533881781971976
beta,0.15,0.5997573893442479,0.42692258738784084,0.2860528832754385,0.3759127720644502,0.47694765976655645
delta,-0.15,0.4907617920191136,0.3679065901788578,0.27833584801389427,0.36460553088032627,0.5671506065473289
delta,0.15,0.5871282449651419,0.4583588148639267,0.291659973034431,0.3841508797857359,0.49675684236882
u_target,-0.15,0.4995728160480485,0.4381377812050137,0.2463101791081853,0.318081684678278,0.49304159713224954
u_target,0.15,0.6149326294836346,0.43406055569849156,0.28384258524606865,0.3726704914156483,0.46158322332710533
r_market,-0.15,0.6009585557872963,0.4463741788157167,0.302645900406444,0.400345121100737,0.5036052777548985
r_market,0.15,0.5778329263364119,0.4321834109303646,0.26307148165100996,0.34234822412714405,0.4552725704278245
r_pool,-0.15,0.5769496417223393,0.43166082269575656,0.2626693463943418,0.34176386062390185,0.4552725704278245
r_pool,0.15,0.6001194693021783,0.44584197695470396,0.30222333202404583,0.39972093121492086,0.5036052777548985
rho,-0.15,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
rho,0.15,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
lambda_hack,-0.15,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
lambda_hack,0.15,0.5810500433799682,0.43409877240617123,0.2701542277857689,0.352657497580526,0.4649414122995013
