scenario,initial_tvl,final_tvl,total_hack_events,total_hack_losses,total_insurance_payouts,final_lp_capital,final_utilization,final_revenue_share,protocol_profit,lp_profit,hack_frequency,loss_ratio
Base Case,132322025.5890987,117201874.56219961,1,34194463.844176866,20823445.36644417,46006592.8816512,0.45261872401660025,1.0,2101955772.8128364,-15638782.876541255,1.0,0.6089712493032784
Base Case,112553300.7053861,173177987.92790747,0,0.0,0.0,59119578.71557416,0.31452877207595764,1.0,-1743847.739868415,5849210.057370092,0.0,0.0
Base Case,115399235.32130057,100625097.40855749,0,0.0,0.0,60614411.439451225,0.3121780350625068,0.912809941213715,-324575.32100419677,5205199.560026926,0.0,0.0
Base Case,132619685.38618633,136135379.14323497,0,0.0,0.0,66980371.44506359,0.31137784217759484,0.9569456320741918,-1002000.2187447777,6197052.882059917,0.0,0.0
Base Case,195054475.8520515,418600779.21261406,0,0.0,0.0,86691900.16111484,0.3151132873945695,1.0,-4291945.076586964,8975737.081556326,0.0,0.0
Base Case,83298975.66346093,101075388.71720415,0,0.0,0.0,47119206.38159382,0.3197040488624846,1.0,-1039077.235213756,4593633.029607619,0.0,0.0
Base Case,183929022.71540025,300151247.1454421,0,0.0,0.0,81747240.3914713,0.3207224618663373,1.0,-3035264.2324787127,8371499.211844087,0.0,0.0
Base Case,61446243.406093575,46448293.13560206,0,0.0,0.0,38481997.75427025,0.3164065668643613,0.963572587438764,-307689.040925968,3479348.051978492,0.0,0.0
Base Case,181014410.41877243,173597806.889556,1,57050097.36758198,25926837.420035228,54525016.0788549,0.4755035263545717,1.0,2616830301.9074807,-19515481.918336116,1.0,0.4544573737181356
Base Case,51556123.08285499,75593574.01516202,0,0.0,0.0,34371221.700043395,0.3133221039452002,1.0,-787361.7146458672,3282653.8084902093,0.0,0.0
Base Case,165698096.4900119,263915148.76490605,0,0.0,0.0,76991934.42795753,0.31655139377981156,0.9581186155252008,-2318753.0323542124,7370108.994825811,0.0,0.0
Base Case,77040453.33151539,71661172.1590856,1,9597782.004812226,9597782.004812226,35537587.00429577,0.40135481691958974,1.0,917886948.6039277,-5378956.170754375,1.0,1.0
Base Case,73124426.35695085,40572102.89680152,1,534349.4877613208,534349.4877613208,42306789.074123494,0.3250549979061472,0.9613861780164462,39807051.339918464,3459285.6480823536,1.0,1.0
Base Case,166655361.586073,151957702.709062,3,35186282.44132738,28145946.534900866,49290778.498463154,0.49644818262304247,1.0,4554214993.978744,-39240257.734202094,3.0,0.7999124824236215
Base Case,127091501.56590353,38006674.779182255,0,0.0,0.0,64188360.043918826,0.31538646967711426,0.9596980903335431,-90117.5855445906,5875915.4550089855,0.0,0.0
Base Case,177322654.5902868,139072503.00865936,0,0.0,0.0,78811068.5079109,0.32426644466993054,0.9592820661698953,-1051392.4344444545,7488432.049239299,0.0,0.0
Base Case,83493661.87303083,87083163.00405644,0,0.0,0.0,47229331.62617234,0.319479909153186,1.0,-910198.080599586,4588392.063502576,0.0,0.0
Base Case,94199750.40306646,93583420.32383844,0,0.0,0.0,51382312.78526992,0.31951854332587304,1.0,-992524.0648110732,5013835.427670861,0.0,0.0
Base Case,147556136.26093876,169785900.71952704,0,0.0,0.0,71543177.04607636,0.3141168113808325,1.0,-1795671.5083193134,7112706.280661177,0.0,0.0
Base Case,64630040.26241773,39362914.912674904,0,0.0,0.0,39170263.82470615,0.3220285165785908,1.0,-402639.1953251781,3740265.9490592014,0.0,0.0
Base Case,138219620.16159114,188098621.13187185,0,0.0,0.0,67016378.1730758,0.32034622299937837,1.0,-1957427.2031398672,6718731.093416501,0.0,0.0
Base Case,57308732.12136909,58336831.88401806,0,0.0,0.0,37048556.81406838,0.3130061859142756,0.9206239799180524,-239617.84772044938,3142718.5398076437,0.0,0.0
Base Case,81269080.60382639,143195350.16447893,0,0.0,0.0,45970985.91746944,0.3220823824105324,0.9950241695994168,-1431598.2885211662,4510166.245968603,0.0,0.0
Base Case,127594682.57698838,94611084.1625428,1,7240292.825224975,7240292.825224975,57202198.985194445,0.3548845604450493,1.0,498418589.5338061,885290.9211650866,1.0,1.0
Base Case,194002595.5003878,163462319.41011232,0,0.0,0.0,86224396.46544825,0.31562561413785645,0.9659173225580977,-1264656.8654677935,8231086.869633705,0.0,0.0
Base Case,180518620.4940818,158487766.0428222,0,0.0,0.0,80231501.80042887,0.32253091225891317,1.0,-1603865.9699926986,8063568.525113009,0.0,0.0
Base Case,96190242.89374563,102128120.2734275,0,0.0,0.0,52468033.92271367,0.3175176170897378,0.9739737610320085,-863658.397468474,4938109.476468127,0.0,0.0
Base Case,113858211.57783437,109173453.25880215,0,0.0,0.0,59804985.70383408,0.3134414348581927,0.9904452477826085,-1072509.735913435,5765986.952728851,0.0,0.0
Base Case,159352061.34336787,122730831.02477042,1,71686540.95187594,23715103.517566063,50328163.05817243,0.4712093999964725,1.0,2393993073.8145056,-17907256.67155221,1.0,0.3308166805465799
Base Case,179563997.83551243,159679715.62862816,0,0.0,0.0,79807223.86792222,0.3230450982737753,1.0,-1661651.5559850645,8031027.968662611,0.0,0.0
Base Case,146621530.41025025,117023837.29646698,0,0.0,0.0,71090034.49626678,0.31471701289247694,1.0,-1235090.7726255464,7005793.068367341,0.0,0.0
Base Case,92908073.24907735,51991497.196254686,0,0.0,0.0,50677762.93370999,0.32084664658279466,1.0,-555051.3455003247,4899304.139391243,0.0,0.0
Base Case,178833390.09395596,248789198.8342914,1,38213748.54880063,25707904.470772848,53774603.93049002,0.47806776046185906,1.0,2593977800.6006446,-19285414.143692125,1.0,0.6727396669275386
Base Case,87276519.11565949,89650497.41455187,0,0.0,0.0,49369124.06432396,0.3152551690142418,1.0,-924911.5699528365,4781265.741779159,0.0,0.0
Base Case,55784252.13221145,53992475.06148651,0,0.0,0.0,36063039.42947365,0.3155517554792759,0.9083348402723949,-113318.928740034,3000462.754952278,0.0,0.0
Base Case,118708242.23361358,125829997.39451404,0,0.0,0.0,59954391.63848518,0.32191884734750636,1.0,-1304990.0291906137,5932136.558803006,0.0,0.0
Base Case,159276078.73935884,123895245.08166718,0,0.0,0.0,74007961.46686466,0.3203330009926111,0.9635466008283735,-929003.7704160186,7001290.569470929,0.0,0.0
Base Case,191674490.42859602,166822469.17235157,0,0.0,0.0,85189680.1849879,0.31677249261454193,0.9877317653265003,-1547006.8416641904,8392128.031856658,0.0,0.0
Base Case,107715967.92751156,199647464.13955548,0,0.0,0.0,56578760.21179887,0.31870726040051783,0.9766059968380316,-1836374.4609183834,5474971.616284754,0.0,0.0
Base Case,132033373.4218032,121161614.89105198,0,0.0,0.0,66684254.358077586,0.31179260477721826,0.898842175651738,-369977.7280459928,5646758.887422256,0.0,0.0
Base Case,111153054.21204291,96055458.52565716,0,0.0,0.0,58384096.50595531,0.3157139333109441,1.0,-986600.138822123,5694277.508492582,0.0,0.0
Base Case,87638543.56174102,77414435.3363973,0,0.0,0.0,49573905.03343426,0.3148633649190298,1.0,-816782.0732539812,4786881.187853416,0.0,0.0
Base Case,106181017.82710437,115577613.39792727,1,13003624.477738488,13003624.477738488,42768900.19134052,0.4174041813313735,1.0,1801864786.0528162,-13219995.136004275,1.0,1.0
Base Case,67258184.95846684,74087968.8787994,0,0.0,0.0,40763072.50933389,0.31819534187969717,1.0,-763698.8245859828,3923795.8867423004,0.0,0.0
Base Case,175226322.29984742,192417189.00073394,0,0.0,0.0,81419198.45737335,0.3112785938353896,0.9743671730284773,-1617942.6028091267,7832202.667834069,0.0,0.0
Base Case,198351727.02134,202119293.04282486,0,0.0,0.0,88157349.25401343,0.31353033391242546,0.9932008949058211,-1996988.2777049227,8771265.758406388,0.0,0.0
Base Case,167574852.6208626,203489114.85277605,0,0.0,0.0,77863964.02464531,0.3154821071358217,0.9510014373418212,-1530126.498094079,7291111.24903964,0.0,0.0
Base Case,67023270.784047425,89080084.71732976,0,0.0,0.0,40620700.843983844,0.3185299815077013,0.9947629319574248,-878023.1642951213,3900096.471642485,0.0,0.0
Base Case,52623540.6396729,65202938.593880825,1,5194724.27626986,5194724.27626986,28825037.349796064,0.3790025099757469,1.0,514108729.26983184,-2177355.792075338,1.0,1.0
Base Case,95144668.37838718,108620740.11058019,0,0.0,0.0,51897721.62190723,0.318561886071044,0.9710537879777632,-914761.4691858386,4876818.969690544,0.0,0.0
Base Case,124190246.83070321,91046849.74805494,0,0.0,0.0,62723080.20489022,0.31758212430842303,1.0,-909380.9734229984,6137183.11617213,0.0,0.0
Base Case,151359712.32553285,89322524.24918766,0,0.0,0.0,73387336.43694161,0.3117242128910202,0.9440574867128395,-359823.59471566457,6634971.642904127,0.0,0.0
Base Case,173466551.1064688,257488776.67453462,0,0.0,0.0,80601525.59151776,0.31222395431384836,0.9458435166446846,-1996424.1543485213,7528949.835754883,0.0,0.0
Base Case,176999361.08152008,177699484.96680516,0,0.0,0.0,78667382.09919113,0.3244442694045648,1.0,-1786273.2898529663,7939977.767202689,0.0,0.0
Base Case,113027445.07111607,94369213.44929709,1,27703230.9418658,18649572.503214817,40719051.467922,0.4580060642597909,1.0,1882632097.2749841,-14085971.659975722,1.0,0.6731912440953277
Base Case,63966243.0007787,49187958.73098165,0,0.0,0.0,40060172.14701138,0.3126090002517825,0.9852379378920115,-421856.6443308814,3723960.478225478,0.0,0.0
Base Case,197628777.5813865,208427762.07616428,0,0.0,0.0,87836037.486545,0.3138744666913185,0.9927470859813963,-2073916.2865789,8746088.342456369,0.0,0.0
Base Case,63102446.435326256,36679131.83406426,0,0.0,0.0,39519211.099632666,0.3138884693341557,1.0,-384161.8908848095,3739139.7184192967,0.0,0.0
Base Case,104765837.45340408,67806866.25923198,1,12600709.650562217,12600709.650562217,42428488.75902856,0.4168221953177977,1.0,688348632.7086686,-2285004.8401548592,1.0,1.0
Base Case,188605267.3361638,194739136.31595072,0,0.0,0.0,83825577.18955891,0.3183124502021535,1.0,-2036398.4629257617,8446825.533171091,0.0,0.0
Base Case,95130999.50699282,106377111.43126841,0,0.0,0.0,51890265.88787791,0.3185756365791937,1.0,-1018986.3075948465,5062557.570692409,0.0,0.0
Base Case,173670421.38699228,92166323.4210747,0,0.0,0.0,80696253.35906258,0.3121137964891899,0.9248075881720939,-172933.52756894694,7134272.6609709915,0.0,0.0
Base Case,55063206.56348125,64799184.58267302,0,0.0,0.0,35596911.34112712,0.3167874803574069,0.9953393150706686,-638960.8957528747,3377886.657522463,0.0,0.0
Base Case,133091153.37508796,268123880.63714635,1,14968378.064270789,14968378.064270789,49561469.00637531,0.4218608719493606,1.0,1959779231.4713771,-13827015.561036438,1.0,1.0
Base Case,106864778.81506552,64321842.648521,0,0.0,0.0,56131671.46549492,0.3194677875220682,0.9614740353525644,-387419.98300810746,5171413.010844163,0.0,0.0
Base Case,82796757.5220809,49933066.38857244,0,0.0,0.0,46835124.13574074,0.3202854050437936,0.9890309901461289,-447960.96361561713,4440190.958440104,0.0,0.0
Base Case,73143136.71969137,163180696.07882467,0,0.0,0.0,42852100.15233265,0.32097597691599894,0.9992443489112681,-1681437.8810925276,4246405.641141216,0.0,0.0
