parameter,variation,utilization,revenue_share,coverage_ratio,collateral_ratio,lp_ratio
baseline,0.0,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
mu,-0.15,0.42767859994307167,0.37026718380139106,9.096486353077578e-06,0.49999098426388366,2.1269444751943193e-05
mu,0.15,0.5786239881582734,0.48217133396174516,1.230701094828143e-05,0.49999098426388366,2.1269444751943193e-05
theta,-0.15,0.21500997752754916,0.23934421879885548,4.573142838138754e-06,0.49999098426388366,2.1269444751943193e-05
theta,0.15,1.09784519166721,0.9544053480543793,2.3350557650352207e-05,0.41332431759721705,2.1269444751943193e-05
xi,-0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
xi,0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
alpha,-0.15,5.35096478075181e-06,0.3733824666193013,1.0701748650679503e-05,0.49999098426388366,1.9999661909895639
alpha,0.15,0.5031512940506726,0.4242985986992165,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
beta,-0.15,0.5031512940506726,0.47785303101079946,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
beta,0.15,0.5031512940506726,0.3800908938626745,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
delta,-0.15,0.5031512940506726,0.4138504844876968,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
delta,0.15,0.5031512940506726,0.4359331450988217,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
u_target,-0.15,0.5031512940506726,0.4926805845836526,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
u_target,0.15,0.5031512940506726,0.42405584980929034,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
r_market,-0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
r_market,0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
r_pool,-0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
r_pool,0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
rho,-0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
rho,0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
lambda_hack,-0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
lambda_hack,0.15,0.5031512940506726,0.424509030763463,1.0701748650679503e-05,0.49999098426388366,2.1269444751943193e-05
