scenario,initial_tvl,final_tvl,total_hack_events,total_hack_losses,total_insurance_payouts,final_lp_capital,final_utilization,final_revenue_share,protocol_profit,lp_profit,hack_frequency,loss_ratio
Base Case,132322025.5890987,117201874.56219961,1,34194463.844176866,8133868.686798691,50676863.91589028,0.16050457858439476,1.0,817035144.4990957,-392337.6483281332,1.0,0.23787092331274687
Base Case,112553300.7053861,173177987.92790747,0,0.0,0.0,54572093.30791716,0.13746419443941593,1.0,-4528192.484006137,7007789.788223205,0.0,0.0
Base Case,115399235.32130057,100625097.40855749,0,0.0,0.0,53620706.32975814,0.14166090815961183,0.8361497571277133,-2325240.7083671936,5502150.583981247,0.0,0.0
Base Case,132619685.38618633,136135379.14323497,0,0.0,0.0,58943026.21856433,0.1381505613447571,0.934723709696996,-3968219.8036539117,7320862.246641499,0.0,0.0
Base Case,195054475.8520515,418600779.21261406,0,0.0,0.0,70930317.98219651,0.13922817807093266,1.0,-9117204.764712736,11419667.466242693,0.0,0.0
Base Case,83298975.66346093,101075388.71720415,0,0.0,0.0,45436446.822588325,0.14203538582739192,1.0,-3099728.1768303844,5351476.93263431,0.0,0.0
Base Case,183929022.71540025,300151247.1454421,0,0.0,0.0,66884664.46518138,0.14337705828220576,0.9837265168385552,-7362642.260561589,10475107.706760323,0.0,0.0
Base Case,61446243.406093575,46448293.13560206,0,0.0,0.0,39723297.92517072,0.1395350966667423,0.9073115797920339,-1459662.8963281417,3592179.3840447613,0.0,0.0
Base Case,181014410.41877243,173597806.889556,1,57050097.36758198,9513441.713240726,59968119.02900405,0.15864165605460254,1.0,954599399.1204019,745431.5929131148,1.0,0.16675592421769683
Base Case,51556123.08285499,75593574.01516202,0,0.0,0.0,36454230.22744228,0.13927503636270502,1.0,-2062757.6331504178,3614259.019927548,0.0,0.0
Base Case,165698096.4900119,263915148.76490605,0,0.0,0.0,63602531.4562,0.14310850502015257,0.909514027892945,-5713597.245071156,8617048.955174243,0.0,0.0
Base Case,77040453.33151539,71661172.1590856,1,9597782.004812226,6206410.5640345905,38928958.4450734,0.15942914508723605,0.9666384945872974,624420319.1032879,-1577456.9386093174,1.0,0.6466505033061558
Base Case,73124426.35695085,40572102.89680152,1,534349.4877613208,534349.4877613208,42306789.074123494,0.14292304405184553,0.8327486609477308,38896378.34131024,3239673.641770338,1.0,1.0
Base Case,166655361.586073,151957702.709062,3,35186282.44132738,12803946.513769874,51166022.53612452,0.17840584301938175,1.0,2760215444.7205615,-18055174.31288678,3.0,0.3638902897775652
Base Case,127091501.56590353,38006674.779182255,0,0.0,0.0,56486048.709459946,0.14112311234613373,0.9154852388441225,-2714667.071979223,6759738.752996948,0.0,0.0
Base Case,177322654.5902868,139072503.00865936,0,0.0,0.0,68064513.48573494,0.13833830627982532,0.813709940709824,-3377884.3052175827,7822543.672306791,0.0,0.0
Base Case,83493661.87303083,87083163.00405644,0,0.0,0.0,45542639.10107651,0.14186969908850347,0.9943095173216879,-2933623.675546722,5311155.498673181,0.0,0.0
Base Case,94199750.40306646,93583420.32383844,0,0.0,0.0,49479340.518318266,0.13870178817920079,1.0,-3322838.4873121628,5963786.003969518,0.0,0.0
Base Case,147556136.26093876,169785900.71952704,0,0.0,0.0,62600612.77612235,0.1372085388907985,1.0,-5445916.768907692,8832944.540865025,0.0,0.0
Base Case,64630040.26241773,39362914.912674904,0,0.0,0.0,40475881.67430649,0.14044360938204528,1.0,-2001457.815394849,4301878.191563082,0.0,0.0
